stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4741,,ТРЦ Кінг Кросс (320-01),"вул. Стрийська, 30",49.774232,24.013335
4742,0179,Сяйво (179),"вул. Сяйво, 10",49.837650,23.977221
4745,0140,Естонська (140),"вул. Левандівська, 3",49.846842,23.990648
4746,0139,Левандівська (139),"вул. Левандівська, 1",49.848433,23.994462
4747,,Пимоненка (332),"вул. Пасічна, 125",49.809287,24.078925
4749,0761,Винниця (761),"вул. Винниця, 60",49.861863,23.991930
4750,0687,Брюховицька (687),"вул. Т. Шевченка, 222а",49.859926,23.970913
4751,0689,Шевченка (689),"вул. Т. Шевченка, 264",49.861706,23.966519
4752,0691,Біберовича (691),вул. Т. Шевченка 292,49.862938,23.963537
4753,0692,Порічкова (692),вул. Т. Шевченка 318,49.864446,23.960018
4754,0701,Лушпинського (701),вул. Т. Шевченка (перехрестя з вул. О. Лушпинського),49.866392,23.956699
4755,0694,Рясне-1 (694),вул. Т. Шевченка 358,49.868094,23.952604
4756,0695,Стельмаха (695),вул. Т. Шевченка 384,49.870455,23.946247
4757,0698,Сотника (698),вул. Т. Шевченка (навпроти № 321),49.872606,23.932868
4758,0657,Величковського (657),вул. І. Величковського (навпроти № 40),49.875137,23.932444
4759,0655,Рясне-2 (655),"Рясне-2, вул. І. Величковського 2",49.874967,23.937922
4760,0656,Величковського (656),вул. І. Величковського 42,49.875299,23.932450
4761,0693,Сотника (693),вул. Т. Шевченка 321,49.872347,23.933791
4762,0700,Стельмаха (700),вул. Т. Шевченка (навпроти № 384),49.870438,23.945507
4763,0699,Рясне-1 (699),вул. Т. Шевченка (навпроти № 358А),49.868350,23.950866
4764,0702,Лушпинського (702),вул. Т. Шевченка (перехрестя з вул. Професора Ковалика),49.866431,23.956370
4765,0690,Порічкова (690),вул. Т. Шевченка 277,49.864277,23.960077
4766,0688,Біберовича (688),вул. Т. Шевченка 241,49.862935,23.963193
4767,0686,Шевченка (686),вул. Т. Шевченка 209,49.861234,23.967394
4768,0685,Брюховицька (685),вул. Т. Шевченка 171,49.859833,23.970693
4769,0186,Татарбунарська (186),вул. Т. Шевченка (навпроти № 154Б),49.853766,23.985300
4771,0142,Левандівська (142),вул. Левандівська 10,49.848406,23.993974
4773,0181,Широка (181),вул. Сяйво 91,49.842048,23.979008
4774,0180,Сяйво (180),вул. Сяйво 23,49.836671,23.976797
4775,0629,Татарбунарська (629),"вул. Винниця (вул. Т. Шевченка, 154)",49.854037,23.986405
4776,0597,Шевченківська РА (597),"вул. В. Липинського, 12",49.857499,24.023241
4777,0598,Замарстинівська (598),вул. В. Липинського 26,49.860566,24.027658
4778,0603,Бетховена (0603),вул. В. Липинського (навпроти № 36),49.863440,24.032636
4779,0600,БТІ (600),вул. В. Липинського 54,49.864844,24.042023
4780,0601,Автостанція №2 (601),"вул. В. Липинського, 60",49.865131,24.050676
4781,0659,Лікарня швидкої допомоги (659),"вул. І. Миколайчука, 12",49.875119,24.041358
4782,0619,Щурата (619),"вул. В. Щурата, 12",49.879824,24.038129
4783,0662,Щурата (662),вул. І. Миколайчука (навпроти № 28),49.878784,24.036520
4784,0658,Лікарня швидкої допомоги (658),"вул. І. Миколайчука, 11",49.874907,24.041259
4785,0605,Автостанція №2 (605),вул. В. Липинського (навпроти № 60),49.864889,24.051685
4786,0607,Миколайчука (607),вул. В. Липинського (перехрестя з вул. І. Миколайчука),49.865214,24.043638
4787,0604,БТІ (604),вул. В. Липинського (навпроти № 54),49.864878,24.040446
4788,0599,Бетховена (599),вул. В. Липинського 44,49.863557,24.033548
4789,0602,Замарстинівська (602),"вул. В. Липинського (вул. Покутська, 1)",49.859650,24.026139
4790,0596,Окуневського (596),вул. В. Липинського 5,49.856216,24.019434
4792,0622,Струмок (622),вул. Варшавська 44,49.857863,24.011624
4793,0627,Панча (627),"вул. Варшавська (вул. П. Панча, 26)",49.862171,24.007643
4794,0696,Татарбунарська (696),"вул. Т.  Шевченка, 154-Б",49.854006,23.985048
4795,0177,Суботівська (177),"вул. Суботівська, 13",49.846956,23.965977
