stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
4888,0163,Левандівське озеро (0163),вул. Повітряна 2Б,49.846344,23.985198
4889,0157,Олесницького (0157),вул. Повітряна 20,49.845355,23.978294
4890,0160,Пілотів (0160),вул. Повітряна 66,49.844509,23.971905
4891,0159,Пілотів (0159),вул. Повітряна 65,49.844388,23.971694
4892,0158,Є. Олесницького (0158),вул. Повітряна 31,49.845247,23.978187
4893,0162,Левандівське озеро (0162),вул. Повітряна 1А,49.846248,23.985380
4894,0141,Естонська (0141),вул. Левандівська (навпроти №3),49.846884,23.990348
4895,0183,Єрошенка (0183),вул. Шевченка Тараса 77,49.848018,24.000176
4896,0182,Турянського (0182),вул. Шевченка Тараса 53,49.846967,24.003292
4897,0077,Мудрого (0077),вул. Шевченка Тараса 3А,49.844303,24.011253
4898,0253,АС6 (0253),"вул. Личаківська, 152",49.835872,24.070913
4899,0030,Шухевича (0030),вул. Франка Івана 8,49.836654,24.034894
4901,0080,Стрийський ринок (0080),вул. Руставелі Шота 42,49.829668,24.032244
4902,0076,Академія сухопутних військ (0076),вул. Стрийська (монумент слави),49.825141,24.022969
4903,0558,Дитяча залізниця (0558),вул. Стрийська 72,49.820528,24.020228
4904,0566,Податкова (0566),"вул. Стрийська (вул. Академіка Лазаренка, 2)",49.814945,24.019665
4905,0428,Податкова (0428),вул. Стрийська 35,49.815149,24.019922
4906,0075,Дитяча залізниця (0075),вул. Стрийська (вхід в парк),49.820241,24.020432
4907,0567,Академія сухопутних військ (0567),"вул. Стрийська (вул. Героїв Майдану, 32)",49.824120,24.020624
4909,0292,Руставелі Шота (0292),вул. Руставелі Шота (навпроти № 4),49.833934,24.035425
4910,0240,пл. Митна (0240),вул. Личаківська 2,49.839712,24.037083
4911,0241,Військовий госпіталь (0241),вул. Личаківська 28,49.840221,24.043327
4912,0243,Кармалюка (0243),вул. Личаківська 52,49.839806,24.049845
4914,,Богдана Котика (0249),вул. Личаківська 112,49.837439,24.059711
4915,0272,Фабрика повидла (0272),"вул. Механічна (вул. Б.Хмельницького, 122)",49.855266,24.045390
4916,0273,Корейська (0273),вул. Новознесенська 34,49.855513,24.053439
4917,0229,Милятинська (0229),вул. Ковельська 50,49.857506,24.057382
4918,0288,Ковельська (0288),вул. Пластова 4,49.859377,24.060670
4919,0199,Авторинок (0199),вул. Богданівська 11,49.854808,24.076022
4920,0203,Гайдучка (0203),вул. Богданівська (навпроти № 100),49.852854,24.077547
4921,0201,Старознесенська (0201),"вул. Богданівська (вул. Старознесенська, 161)",49.849194,24.083147
4922,0213,Богданівська (0213),вул. Глинянський Тракт (навпроти № 70),49.840172,24.084671
4923,0377,ДБК (0377),"вул. Зелена, 251",49.805938,24.062306
4924,0279,Таджицька (0279),вул. Пасічна 42,49.830104,24.069065
4926,0287,Ярошинської (0287),"вул. Пасічна (навпроти вул. Є.Ярошинської, 2)",49.821829,24.075181
4927,0214,ТЦ Метро-2 (0214),вул. Вашингтона Джорджа 21,49.814485,24.075991
4928,0215,Перинатальний центр (0215),вул. Вашингтона Джорджа 5А,49.816146,24.069323
4929,0373,Бузкова (0373),вул. Зелена 186,49.813609,24.060053
4930,0374,Фрезерний завод (0374),вул. Зелена 200,49.812121,24.060740
4932,0371,Фрезерний завод (0371),вул. Зелена 149,49.811345,24.061158
4933,0370,Бузкова (0370),вул. Зелена 147,49.813619,24.060375
4934,0210,АС6 (0210),"вул. Личаківська, 132",49.835855,24.070804
4935,0198,Богданівська (0198),вул. Богданівська 2,49.840480,24.085695
4936,0202,Старознесенська (0202),"вул. Богданівська (вул. Старознесенська, 192)",49.848987,24.083217
4937,0204,Гайдучка (0204),вул. Богданівська (перехрестя з вул. С.Гайдучка),49.853359,24.077284
4938,0200,Авторинок (0200),вул. Богданівська 42,49.854843,24.076227
4939,0230,Ковельська (0230),"вул. Ковельська (вул. Пластова, 2)",49.859061,24.059070
4940,0228,Милятинська (0228),вул. Ковельська 41,49.857515,24.057266
4941,0274,Корейська (0274),вул. Новознесенська 67,49.855569,24.053627
4942,0289,Польова (0289),вул. Польова 42,49.856970,24.063558
4943,0231,Ковельська (0231),вул. Ковельська (навпроти № 63),49.859778,24.060125
4944,0236,Кукурудзяна (0236),вул. Кукурудзяна (перехрестя з вул. Ковельською),49.862363,24.060637
4945,0095,Кульпарківська (0095),вул. Городоцька 128,49.834526,23.989849
4947,0315,Епіцентр (0315),"вул. Городоцька,302",49.824453,23.910273
4948,0518,"Бойчука, Кіноцентр (0518)",вул. Княгині Ольги 55,49.812847,24.000707
4949,0524,Аркаса (0524),"вул. Княгині Ольги, 9",49.817564,24.003247
4950,0513,Шумського (0513),вул. Княгині Ольги 3,49.823743,24.007707
4951,0512,Горбачевського (0512),вул. Княгині Ольги 1,49.825823,24.009671
4952,0044,Сахарова (0044),вул. Коперника Миколая 41,49.832644,24.018586
