stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_region
44978,0005,Стадіон Україна (5),"вул. В. Стуса, 22а",49.817951,24.043984,Сихівський
4611,0446,Чукаріна (446),"вул. Хуторівка (навпроти вул. В. Чукаріна, 30)",49.800723,24.040087,Сихівський
5161,0019,Парк культури (19),вул. Д. Вітовського (вхід до парку),49.830253,24.023296,Галицький
42783,0294,Шумського (294),"вул. Княгині Ольги, 5а",49.822515,24.006640,Франківський
5012,0086,Авіаційна (0086),вул. Авіаційна,49.824799,23.939402,Залізничний
4659,1045,"Брюховичі, Ягідна (1045)",вул. В. Івасюка 45,49.902589,23.930982,Шевченківський
4678,0590,Радіоринок (590),вул. Б. Хмельницького 217,49.861909,24.050477,Шевченківський
4747,,Пимоненка1,"вул. Пасічна, 160",49.807111,24.065681,Сихівський
4603,,Скрипника (418),вул. М. Скрипника 39,49.786002,24.051712,Сихівський
4633,0615,ПК Хоткевича (615),пр. В. Чорновола (вул. С. Кушевича 1),49.851197,24.024374,Шевченківський
5007,0283,Лисинецька (283),вул. Пасічна 90,49.818005,24.076560,Личаківський
4888,0163,Левандівське озеро (0163),вул. Повітряна 2Б,49.846344,23.985198,Залізничний
5105,1002,"Винники, Офтальмологічна поліклініка (1002)",вул. Галицька 1,49.817621,24.130488,Личаківський
4932,0371,Фрезерний завод (371),"вул. Зелена, 149",49.811404,24.061067,Сихівський
4805,0376,ДБК (376),"вул. Зелена, 238",49.804937,24.062709,Сихівський
5175,,Трильовського (406-01),"вул. К. Трильовського, 21",49.783599,24.067279,Сихівський
4674,1191,Малехів. Нова (1191),вул. Нова ?,49.876810,24.066759,Личаківський
44948,1007,Винники Кільцева (1007),"вул. Галицька, 109",49.817773,24.157337,Личаківський
4569,0637,Мазепи (637),"вул. Гетьмана Мазепи, 3А",49.869529,24.025372,Шевченківський
4849,0042,пл. Митна (42),вул. Личаківська 7,49.839833,24.038005,Галицький
42767,0034,пл. Франка (34),"пл. Франка, 70",49.830161,24.031407,Галицький
4608,0452,Дитяча поліклініка (452),"пр. Червоної Калини, 59",49.796501,24.053698,Сихівський
42797,0188,Приміський вокзал (188),вул. Чернівецька (навпроти буд.4),49.837700,24.000191,Залізничний
4910,0240,пл. Митна (240),вул. Личаківська 2,49.839747,24.037212,Личаківський
4705,0582,Промислова (0582),вул. Б. Хмельницького 106,49.853635,24.041626,Личаківський
5250,0071,Січових Стрільців (0071),вул. Січових Стрільців 17,49.839619,24.023291,Галицький
5123,0366,Дунайська (366),"вул. Дністерська, 17",49.816622,24.050859,Сихівський
5042,,"Народний дім ""Білогорща"" (0087)",вул. Білогорща 25,49.844379,23.937986,Залізничний
4630,0016,Церква Анни (16),"вул.Городоцька,67",49.841939,24.016604,Галицький
44967,0009,Стрийський ринок (9),"вул. Волоська (вул. Ш. Руставелі, 13)",49.829554,24.032684,Галицький
44987,0185,Янівський цвинтар (185),"вул. Шевченка, 128",49.850457,23.993170,Шевченківський
4788,0599,Бетховена (599),вул. В. Липинського 44,49.863557,24.033548,Шевченківський
5146,,Теодора (0069-01),"пл. Святого Теодора, 9",49.846894,24.026314,Галицький
45045,0770,Заозерні провулки (770),"вул. Під Голоском (перехрестя з 2-м Заозерним провулком, 15)",49.868931,24.012530,Шевченківський
4948,0518,"Бойчука, Кіноцентр (0518)",вул. Княгині Ольги 55,49.812847,24.000707,Франківський
42785,0516,"Бойчука, Кіноцентр (516)","вул. Княгині Ольги, 42",49.813637,24.000884,Франківський
4955,0526,Горбачевського (0526),вул. Княгині Ольги (перехресті з вул. А.Сахарова),49.826128,24.009306,Франківський
4933,0370,Бузкова (370),"вул. Зелена, 147",49.813637,24.060295,Сихівський
42736,0584,Остряниці (584),"вул. Б. Хмельницького, 127",49.853426,24.038307,Шевченківський
4627,0047,Кропивницького (47),пл. М. Кропивницького (біля церкви),49.836536,24.004306,Франківський
4713,0435,Сокільницька (435),"вул. Стрийська, 197",49.784229,24.014322,Сихівський
4604,0459,Санта Барбара (459),"пр. Червоної Калини, 109",49.785576,24.059313,Сихівський
4605,0458,Коломийська (458),"пр. Червоної Калини, 97",49.787467,24.059200,Сихівський
5177,0386,Сихівська (386),"вул. Зелена, 313",49.796861,24.072585,Сихівський
42777,0511,Київська (511),"вул. Київська, 1",49.832429,24.011806,Галицький
4745,0140,Естонська (0140),,49.846839,23.990404,Залізничний
44705,0754,Поліклініка №4 (754),"пр. Червоної Калини, 72",49.790273,24.058986,Сихівський
45008,0779,Вагилевича (779),"вул. Зелена, 45",49.832382,24.041372,Личаківський
4909,0292,Ш. Руставелі (292),вул. Ш/ Руставелі (навпроти № 4),49.833934,24.035425,Личаківський
45068,0765,Духновича (0765),"вул. Кривчицька Дорога, 76",49.847000,24.081087,Личаківський
4644,0576,Чигиринська (576),"вул. Б. Грінченка, 1",49.870596,24.055314,Шевченківський
4667,0651,Дитячий диспансер (0651),вул. Замарстинівська 265,49.877429,24.003979,Шевченківський
4877,0040,Театральна (40),"пл. Ярослава Осмомисла, (Добробут)",49.844819,24.027706,Галицький
4902,0076,Академія сухопутних військ (76),вул. Стрийська (монумент слави),49.825141,24.022969,Галицький
5099,0233,Кривчиці (0233),вул. Кривчицька Дорога 46,49.844089,24.073738,Личаківський
44963,0800,Колодзінського (800),"пр. Червоної Калини (вул. Рядова, 6)",49.803606,24.046449,Сихівський
4782,0619,Щурата (619),"вул. В. Щурата, 12",49.879824,24.038129,Шевченківський
4759,0655,Рясне-2 (655),"Рясне-2, вул. І. Величковського 2",49.874967,23.937922,Шевченківський
44811,0239,Левицького (239),"вул. Левицького, 122",49.830341,24.049463,Личаківський
5000,0032,Стрийський ринок (32),"вул. Франка, 81",49.829234,24.032193,Галицький
44163,1024,"Винники, Госпіталь (1024)","вулиця Івасюка, 31, Винники, Львівська область, Украина",49.826646,24.135430,Личаківський
42741,,Гайдамацька (244),"вул. Замарстинівська, 54",49.854410,24.028242,Шевченківський
44177,0782,Дитяча поліклініка (782),"пр. Червоної Калини, 46",49.797228,24.051822,Сихівський
44944,1021,Винна Гора (1021),"вул. Івасюка, 19",49.823228,24.136947,Личаківський
45091,,Винники. Лисика (1016),"Винники, вул. Кільцева",49.821933,24.146436,Личаківський
4742,0179,Сяйво (179),"вул. Сяйво, 10",49.837650,23.977221,Залізничний
5101,1003,"Винники, Офтальмологічна поліклініка (1003)",вул. Галицька 12,49.817673,24.130574,Личаківський
5115,0001,Дитяча залізниця (0001),"вул. Академіка А. Сахарова (вул. Стрийська, 76В)",49.820352,24.019064,Франківський
42781,0468,Горбачевського (468),"вул. Сахарова, 50",49.827033,24.010921,Франківський
42749,0642,Палац Хоткевича (642),"вул. Замарстинівська, 40",49.852290,24.027513,Шевченківський
4912,0243,Кармалюка (243),вул. Личаківська 52,49.839806,24.049845,Личаківський
4679,0588,Височана (588),"вул. Б. Хмельницького, 201",49.858110,24.047269,Личаківський
4587,0138,Щирецька (138),вул. Кульпарківська 212,49.809472,23.982446,Залізничний
4576,0054,Куліша (54),вул. П. Куліша 45,49.849371,24.024314,Галицький
5223,1077,"Брюховичі, Смолиста (1077)",вул. Смолиста (перехрестя з вул. Соснова),49.894755,23.946628,Шевченківський
4993,0265,Кордуби (0265),вул. М. Кордуби,49.850851,24.044692,Галицький
4769,0186,Татарбунарська (186),вул. Т. Шевченка (навпроти № 154Б),49.853766,23.985300,Шевченківський
4952,0044,Сахарова (44),"вул. М. Коперника, 41",49.832644,24.018586,Галицький
5040,,Білогорща  (0090),вул. Білогорща 71,49.845690,23.929682,Залізничний
4905,0428,Податкова (428),"вул. Стрийська, 35",49.815149,24.019922,Сихівський
44993,0148,Любінська-Виговського (148),"вул. Любінська, 101",49.820916,23.969706,Залізничний
4684,0529,Кульпарківська (529),"вул. Кульпарківська, 3",49.834192,23.990909,Франківський
42813,0708,пл. І. Підкови (708),"пр. Свободи, школа №62",49.841856,24.028063,Галицький
4817,0378,Зубрівська (378),"вул. Зелена, 261",49.802268,24.065316,Сихівський
4970,0208,Глинянський Тракт (0208),вул. Глинянський Тракт 161,49.842016,24.100941,Личаківський
4716,0131,Скнилівок (131),"вул. І. Виговського, 89",49.812297,23.981942,Залізничний
44809,0226,Личаківський цвинтар (226),"вул. Мечникова, 10",49.834080,24.052192,Личаківський
4663,1058,"Брюховичі, Пансіонат “Львів“ (1058)",вул. Курортна 10,49.906866,23.947631,Шевченківський
4563,0593,Галицьке перехрестя (0593),вул. Б. Хмельницького 273,49.873515,24.060214,Шевченківський
45342,0707,Стадіон Сільмаш (707),"вул. Любінська, буд. Сулими, 1",49.829067,23.987162,Франківський
4694,0436,Стрийська-Наукова (436),"вул. Стрийська, 45а",49.802604,24.018361,Сихівський
44984,0753,Поліклініка №4 (753),"пр. Червоної Калини, 70",49.790068,24.058830,Сихівський
4833,0167,ЛОРТА (167),"вул. Ряшівська, 7",49.824294,23.956085,Залізничний
4896,0182,Турянського (182),вул. Т. Шевченка 53,49.847057,24.003062,Залізничний
4980,0220,Львівводоканал (220),"вул. Зелена, 77",49.829834,24.044466,Личаківський
4607,0455,Центр Довженка (455),"пр. Червоної Калини, 81",49.794657,24.057532,Сихівський
44167,0303,"Чукаріна, Школа (303)","вул. Чукаріна, 12",49.798308,24.042757,Сихівський
4958,0521,"Бойчука, Кіноцентр (0521)",вул. Княгині Ольги 104,49.812249,23.999929,Франківський
44985,0117,Залізничний вокзал (117),"пл. Двірцева, 1",49.839890,23.995026,Залізничний
4613,0443,Демнянська (443),"вул. Хуторівка, 49",49.800616,24.030399,Сихівський
4753,0692,Порічкова (692),вул. Т. Шевченка 318,49.864446,23.960018,Шевченківський
4744,0143,Ливарна (0143),,49.844590,23.984318,Залізничний
5064,0257,Ялівець (257),"вул. Личаківська, 223",49.835753,24.075353,Личаківський
5251,0041,Листопадового Чину (0041),вул. Листопадового Чину 10,49.840514,24.020579,Галицький
5031,0033,Музей Франка (0033),вул. І. Франка 150,49.822238,24.032257,Галицький
44168,0322,Данилюка (322),"вул. Г. Хоткевича, 68",49.798217,24.039127,Сихівський
5100,0255,Пасічна (255),"вул. Личаківська, 175",49.836187,24.067140,Личаківський
44941,0207,Бігова (0207),,49.841442,24.096515,Личаківський
5068,1018,Винниківське озеро (1018),вул. Личаківська (перехрестя з вул. Б. Хмельницького),49.820682,24.112582,Личаківський
4918,0288,Ковельська (288),"вул. Пластова, 4",49.859377,24.060670,Личаківський
42800,0503,Гординських (0503),"вул. Коновальця, 100",49.826692,23.996925,Франківський
5092,0572,Лінкольна (0572),вул. А. Лінкольна (навпроти № 45),49.866531,24.041691,Шевченківський
4682,0110,Привокзальний ринок (110),вул. Городоцька (навпроти № 155),49.836457,23.999349,Залізничний
44704,0789,Коломийська (789),"пр. Червоної Калини, 97",49.788048,24.059058,Сихівський
4577,0060,Церква Анни (60),вул. Бенедиктовича,49.842030,24.015512,Галицький
4940,0228,Милятинська (228),"вул. Ковельська, 41",49.857515,24.057266,Личаківський
4709,0084,"Малехів, Нова (1192)","Малехів, вул. Т. Дороша",49.876903,24.066721,Личаківський
45018,,Варшавська (0612-01),"просп. В. Чорновола, 103",49.866374,24.016221,Шевченківський
4714,0433,Автовокзал (433),"вул. Стрийська, 109",49.787426,24.017677,Сихівський
4610,0448,Рахівська (448),"пр. Червоної Калини, 22",49.805654,24.045655,Сихівський
4803,,Пимоненка2,"вул. Пасічна, 251",49.807056,24.065702,Сихівський
4811,0409,Коломийська (409),вул. Коломийська 7,49.788039,24.061051,Сихівський
4628,0018,Кропивницького (18),вул. Городоцька (навпроти № 98),49.837377,24.004869,Галицький
5046,,Роксоляни (0164),"вул. Роксоляни (вул. Широка, 94)",49.843999,23.958526,Залізничний
5130,0154,Кричевського (154),"вул. Любінська, 171",49.819258,23.965157,Залізничний
